Waterbody Type,Segment ID,Waterbody Index Number (WIN),Name,Description,Basin,Segment Miles,6NYCRR Chapter X Part,Water Quality Class
Ponds,0801-0369,Ont  19- 81-18- P718,Nelson Lake,entire lake,Black River,,805,C
Ponds,0801-0370,Ont  19- 81-18- P724,Wheeler Pond,entire lake,Black River,,805,C
Ponds,0801-0371,Ont  19- 81-18-P782..P798,Twin Pond,entire lake,Black River,,805,A(T)
Ponds,0801-0372,Ont  19- 81-18-P782..P802,Greys Lake,entire lake,Black River,,805,C(T)
Ponds,0801-0376,"Ont  19- 81-18-P782a..P786,787,787a","Fulton Chain Lakes, Fifth thru Seventh L",total area of all three lakes,Black River,,805,A(T)
Ponds,0801-0380,Ont  19- 81-34- 1- 1-P807,Rock Pond,entire lake,Black River,,805,C(T)
Ponds,0801-0383,Ont  19- 81-34-P808- 6-P809,Panther Lake,entire lake,Black River,,805,C(T)
Ponds,0601-0109,SR-190-P362,Arnold Lake,entire lake,Susquehanna River,,931,B(T)
Ponds,0601-0110,SR-193-P366,Crumhorn Lake,entire lake,Susquehanna River,,931,AA
Ponds,0601-0111,SR-195-23-P376,Belvedere Lake,entire lake,Susquehanna River,,931,B
Ponds,0601-0112,SR-196-2-P378,Little (Goey) Pond,entire lake,Susquehanna River,,931,AA
Ponds,0601-0114,SR-204-P393- 7-P400,Bailey Pond,entire lake,Susquehanna River,,931,C
Ponds,0601-0116,SR-P363,Saddlebag Lake,entire lake,Susquehanna River,,931,C
Ponds,0601-0118,SR-P404-11-P406,Clarke Pond,entire lake,Susquehanna River,,931,C
Ponds,0902-0155,"SL(C)-32-87-P253,P254",Spectacle Ponds,total area of both lakes,St. Lawrence River,,910,C
Ponds,0902-0158,SL(C)-32-P257a- 3-P262,Barnum Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,0903-0001,SL- 1-P109-11-P144- 1-P145..P147,High Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,1003-0089,C- 15-P114..P118,Horseshoe Pond,entire lake,Lake Champlain,,830,AA
Ponds,0903-0056,SL- 1-P109..P241-26-P248,Lake Eaton,entire lake,St. Lawrence River,,910,AA(T)
Ponds,0903-0057,SL- 1-P109-11- 2- 4- 1-P116,Lost Pond,entire lake,St. Lawrence River,,910,D
Ponds,0903-0065,SL- 1 (portion  3)/P5b,Hannawa Falls Reservoir,entire reservoir,St. Lawrence River,,910,C
Ponds,0903-0070,SL- 1 (portion  5d)/P21a,Five Falls Reservoir,entire reservoir,St. Lawrence River,,910,C
Ponds,0903-0072,SL- 1 (portion  5f)/P29a,Blake Falls Reservoir,entire reservoir,St. Lawrence River,,910,C
Ponds,0903-0076,SL- 1 (portion  9)/P109,Tupper Lake,entire lake,St. Lawrence River,,910,A
Ponds,0903-0080,SL- 1 (portion 13)/P276,Forked Lake,entire lake,St. Lawrence River,,910,B
Ponds,0903-0087,SL- 1- 26-P6,Close Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0089,SL- 1- 28c-P8,Green Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0090,SL- 1- 28d-P11,Arbuckle Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,0903-0116,SL- 1-109-P84,Pine Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0117,SL- 1-P 89- 1- 2- 4-P91,Clear/Woodbury Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,1104-0171,H-369..40-11-1-P308,Owl Pond,entire lake,Upper Hudson River,,941,C(T)
Ponds,1104-0174,H-369..P302 thru P316,Minor Lakes in Upp Sacandaga R Watershed,total area of selected lakes in watershed,Upper Hudson River,,941,FP
Ponds,1104-0178,H-370-P317a,Stones Pond,entire lake,Upper Hudson River,,941,C
Ponds,1104-0179,H-370-P320,Bullhead Pond,entire lake,Upper Hudson River,,941,C
Ponds,1104-0185,H-370-P329a,Lake Vanare,entire lake,Upper Hudson River,,941,B
Ponds,1104-0188,"H-383-P333,P334,-389-P335,P336","Little, Wolf, Coon and Number Nine Ponds",total areas of all selected lakes,Upper Hudson River,,941,C
Ponds,1104-0193,H-391-14-1-P340,Forest Lake,entire lake,Upper Hudson River,,941,A
Ponds,0601-0119,SR-P404-12-P411,Summit Lake,entire lake,Susquehanna River,,931,C
Ponds,0602-0004,SR- 44-14-27-P35a,Whitney Point Lake/Reservoir,entire lake,Susquehanna River,,931,C
Ponds,0602-0010,SR- 44-56-P108/P109,Norwich Reservoirs,total area of both reservoirs,Susquehanna River,,931,A
Ponds,0602-0014,SR- 44-54- 8-P107,Plymouth Reservoir,entire reservoir,Susquehanna River,,931,B
Ponds,0905-0026,SL-25- 73-26-49-P211,Willys Lake,entire lake,St. Lawrence River,,910,FP
Ponds,0905-0030,SL-25-101-24- 8-P289,Crystal Lake,entire lake,St. Lawrence River,,910,C(T)
Ponds,0905-0032,SL-25- 73-19- 5- 3-P136,Dry Timber Lake,entire lake,St. Lawrence River,,910,C(T)
Ponds,0905-0035,SL-25- 73-26-38-P181 thru P186,"Gregg Lake, Green, Twin, Loon Hollow Pds",total area of all four lakes,St. Lawrence River,,910,C
Ponds,0905-0061,SL-25- 73-26-42-2-P195,Muskrat Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0118,SL- 1-P 89- 1- 2-P93,Lead Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0119,SL- 1-P 89- 1-P95- 1- 1-P96,Haymeadow Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0121,SL- 1-P 89- 1-P95- 1-P97- 6-P104,Heavens Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0124,SL- 1-P109- 1a-P110,Tupper Lake Reservoir,entire reservoir,St. Lawrence River,,910,AA
Ponds,0903-0126,SL- 1-P109- 9-P112- 6-P113,Long Pond/Heavens Lake,entire lake,St. Lawrence River,,910,C(T)
Ponds,0903-0127,SL- 1-P109- 9-P112- 7-P114,Saint Hubert Pond,entire lake,St. Lawrence River,,910,D
Ponds,0903-0132,SL- 1-P109-11- 2-P120- 2- 4-P123,Handsome Pond,entire lake,St. Lawrence River,,910,D
Ponds,1104-0196,H-391-29-P342-3-P344,Streeter Pond,entire lake,Upper Hudson River,,941,C
Ponds,0801-0448,"Ont  19-121-P1001,-122-P1002","Mink Lake, Reed Pond",total area of both lakes,Black River,,805,C(T)
Ponds,0801-0450,"Ont  19- 81-P782a..P795,P796","Quiver Pond, Mountain Pond",total area of both lakes,Black River,,805,C(T)
Ponds,0902-0004,SL(C)-32-20..P140 thru P147,"Lydia, L.Long, Nellie, Bessie, L.Fish Pd",total area of all lakes,St. Lawrence River,,910,FP
Ponds,0902-0005,"SL(C)-32-50a-P168,P170,P172","Mud Pond, Long Pond, Little Clear Pond",total area of all three lakes,St. Lawrence River,,910,FP
Ponds,0902-0011,SL(C)-32- 6-P73-26-P79,Diamond Lake,entire lake,St. Lawrence River,,910,D
Ponds,0902-0021,"SL(C)-32-61-P217,-67-P221","Duck Pond, Benz Pond",total area of both lakes,St. Lawrence River,,910,C
Ponds,0902-0045,"SL(C)-32-20-41-P101,P102","Lower, Upper Twin Ponds",total area of both lakes,St. Lawrence River,,910,C
Ponds,0602-0101,SR- 44-41-P101,Steer Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0102,SR- 44-44- 2-P103,McCall Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0103,SR- 44-45- 2-2-P106,North Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0105,SR- 44-68- 7-P124,Sears Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0106,SR- 44-69a-P123 a,Rogers Game Farm Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0075,SR- 44-12-P32,Chenango Lake,entire lake,Susquehanna River,,931,C
Ponds,1201-0176,H-240-144-21-P746,Ayers Lake,entire lake,Mohawk River,,878,C
Ponds,1201-0178,H-240-144-25-P749,Stony Brook Lake,entire lake,Mohawk River,,878,FP
Ponds,1201-0180,"H-240-144-28- 1-P756,P757,P758",Conglin Lakes,total area of all three lakes,Mohawk River,,878,FP
Ponds,1201-0182,H-240-144-28-P750,Knapp Reservoir,entire lake,Mohawk River,,878,B
Ponds,1201-0183,H-240-144-28-P750-1-P752,Hart Vly Lake,entire lake,Mohawk River,,878,FP
Ponds,1201-0184,"H-240-144-28-P762,P763","Waters Millpond, Long Lake",total area of both lakes,Mohawk River,,878,FP
Ponds,0903-0135,SL- 1-P109-11- 2-P120..P130,Little Moose Pond,entire lake,St. Lawrence River,,910,D
Ponds,0903-0136,SL- 1-P109-11- 2-P120..P131,Bottle Pond,entire lake,St. Lawrence River,,910,D
Ponds,0903-0137,SL- 1-P109-11- 2-P120..P132,Flatfish Pond,entire lake,St. Lawrence River,,910,D
Ponds,0903-0138,SL- 1-P109-11- 2-P120..P133,Louie Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0140,SL- 1-P109-11- 2-P120..P135 to P139,"E.Charley,L.Charley,N&S Bettner,Otter Pd",total area of all five ponds,St. Lawrence River,,910,C
Ponds,0903-0102,"SL- 1- 58- 3-P39,5- P40","McCuen Pond, Buck Pond",total area of both lakes,St. Lawrence River,,910,C
Ponds,1104-0002,H-391 (portion 3)/P374,Schroon Lake,entire lake,Upper Hudson River,,941,A
Ponds,1104-0006,H-369-P127-46-12-P168,Holmes Lake,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0013,H-369..20-P222 thru P276,Minor Lakes in UppWestBr Sacandaga Wshed,total area of selected lakes in watershed,Upper Hudson River,,941,FP
Ponds,1104-0015,H-369..20-23-4-P225,Sand Lake,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0021,H-461-P597,Indian Lake,entire lake,Upper Hudson River,,941,AA
Ponds,1104-0026,H-369-P126a,Stewarts Bridge Reservoir,entire reservoir,Upper Hudson River,,941,C
Ponds,1104-0037,H-391-31-P347,Brant Lake,entire lake,Upper Hudson River,,941,AA-S
Ponds,1104-0047,H-369..20-23-P234,Piseco Lake,entire lake,Upper Hudson River,,941,A(TS)
Ponds,1104-0050,H-369..P313-4-P314,Sacandaga Lake,entire lake,Upper Hudson River,,941,AA
Ponds,1104-0061,H-461-P597-P597a,Lewey Lake,entire lake,Upper Hudson River,,941,B
Ponds,1104-0073,H-369..29-25-2-P296,Round Pond,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0252,H-392 thru 418..P508 thru P524,Minor Lake Tribs to Upper Hudson River,"total area of select lakes, from Schroon to North Creek",Upper Hudson River,,941,C
Ponds,1104-0260,H-429-P540,Thirteenth Lake,entire lake,Upper Hudson River,,941,A(T)
Ponds,0602-0076,SR- 44-12-P32-P34,Lily Lake,entire lake,Susquehanna River,,931,C
Ponds,0602-0077,SR- 44-14-27-13-10-P36,Dean Pond,entire lake,Susquehanna River,,931,D
Ponds,0602-0078,SR- 44-14-27-19-P38,Bloody Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0079,SR- 44-14-27-23- 4-P38a,Stump Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0080,SR- 44-14-27-26-P40,Glover Pond/High Lake,entire lake,Susquehanna River,,931,C
Ponds,0602-0081,SR- 44-14-27-37-P42,Solon Pond,entire lake,Susquehanna River,,931,C
Ponds,1302-0144,H- 31-P44-36-11-P122a,Blue Heron Lake,entire lake,Lower Hudson River,,864,B
Ponds,1302-0149,H- 31-P44-51-P128e,Journeys End Lake,entire lake,Lower Hudson River,,864,B
Ponds,1302-0150,H- 31-P44-54-P128a,Teatown Lake,entire lake,Lower Hudson River,,864,B
Ponds,1302-0151,"H- 31-P44-54-P128i,P128j","Vernay Lake, Shadow Lake",total area of both lakes,Lower Hudson River,,864,B
Ponds,1302-0152,H- 31-P44-55- 1-P128n,Franerest Pond,entire lake,Lower Hudson River,,864,B
Ponds,0903-0108,SL- 1- 69-P61,Lone Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0110,SL- 1- 77-P66,Chandler Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0111,SL- 1- 93-P70,Windfall Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0115,SL- 1-109- 4-P83,Mount Arab Lake,entire lake,St. Lawrence River,,910,A
Ponds,0903-0190,"SL- 1-P109..P241-27-P260..P261,P263","Sand Pond, Robinson Pond",total area of both lakes,St. Lawrence River,,910,C
Ponds,1104-0262,H-438-20- 1-P555,Balfour Lake,entire lake,Upper Hudson River,,941,AA(T)
Ponds,1104-0264,H-438-P560,Cheney Pond,entire lake,Upper Hudson River,,941,C(T)
Ponds,1104-0265,H-438-P564c,Middle Boreas Pond,entire lake,Upper Hudson River,,941,C(T)
Ponds,1104-0266,H-452-P574,Huntley Pond,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0275,H-461-P597-26- 9-P613,Mason Lake,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0277,H-466- 4-P618,Split Rock Pond,entire lake,Upper Hudson River,,941,C
Ponds,1104-0204,H-391-33-7-P360a,Alligator Pond,entire lake,Upper Hudson River,,941,C
Ponds,0602-0082,SR- 44-14-27-64-P48,Fisk Marsh Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0083,SR- 44-14-27-P49,Torpy Pond,entire lake,Susquehanna River,,931,B
Ponds,0602-0084,SR- 44-14-59-11-P51,Labrador Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0087,SR- 44-14-60-P67-2-P71,Green Lake,entire lake,Susquehanna River,,931,B
Ponds,0602-0088,SR- 44-14-60-P67a,Green Lake,entire lake,Susquehanna River,,931,C
Ponds,0602-0091,SR- 44-14-60-P68-P73-3-P74-1-P75,Gatehouse Pond,entire lake,Susquehanna River,,931,C
Ponds,1003-0091,C- 15-P114..P123,"Fish Creek Pond, East",entire lake,Lake Champlain,,830,AA
Ponds,1003-0092,C- 15-P114..P124,"Fish Creek Pond, West",entire lake,Lake Champlain,,830,AA
Ponds,1003-0093,C- 15-P114..P125,Square Pond,entire lake,Lake Champlain,,830,AA
Ponds,1003-0094,C- 15-P114..P140,Little Square Pond,entire lake,Lake Champlain,,830,AA
Ponds,1003-0096,C- 15-P114..P147,East Pine Pond,entire lake,Lake Champlain,,830,AA
Ponds,0903-0191,SL- 1-P109..P241-27-P260..P266to270,Partridge Pond and Cat Ponds,total area of select lakes,St. Lawrence River,,910,C
Ponds,0903-0192,SL- 1-P109..P241-32-P272 thru P275,"Anthony Ponds, Hedgehog Pond",total area of select lakes,St. Lawrence River,,910,C
Ponds,0903-0199,SL- 1-P109..P241..P292,Grass Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0202,SL- 1-P109..P293- 4- 7-P302,Slim Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0205,SL- 1-P109..P293- 4-P307-P310,Chub Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0141,SL- 1-P109-11- 2-P120..P142,Loon Pond,entire lake,St. Lawrence River,,910,D
Ponds,1104-0206,H-391-33-P360,Faxonx Pond,entire lake,Upper Hudson River,,941,B
Ponds,1104-0208,H-391-35-P370,Valentine Pond,entire lake,Upper Hudson River,,941,A
Ponds,1104-0209,"H-391-36-P371,P372","Smith, Densmore Ponds",total area of both ponds,Upper Hudson River,,941,A
Ponds,1104-0212,H-391-P374- 1- 1-P375,Warner Pond,entire lake,Upper Hudson River,,941,B
Ponds,1104-0213,H-391-P374- 1- 2-P376,Andrew Pond,entire lake,Upper Hudson River,,941,AA
Ponds,0602-0092,SR- 44-23- 3-P78,Lake Petonia,entire lake,Susquehanna River,,931,A
Ponds,0602-0093,SR- 44-23-11-P81,Echo Lake,entire lake,Susquehanna River,,931,C
Ponds,0602-0094,SR- 44-23-14-1-P82,Round Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0097,SR- 44-38- 1-P95,Trestle Lake,entire lake,Susquehanna River,,931,C
Ponds,0602-0098,SR- 44-38- 1-P95-1-P97,Lake Gerry,entire lake,Susquehanna River,,931,C
Ponds,0903-0092,SL- 1- 33- 1- 4-P13,French Lake,entire lake,St. Lawrence River,,910,C
Ponds,0905-0093,SL-25- 50-P71,Moon Lake,entire lake,St. Lawrence River,,910,C
Ponds,0905-0118,SL-25- 13- 1- 1-P4a,Osborn Lake,entire lake,St. Lawrence River,,910,C
Ponds,0905-0124,SL-25- 49-P68,Payne Lake,entire lake,St. Lawrence River,,910,C
Ponds,0903-0143,"SL- 1-P109-11- 7..P152,P152",Hornet Ponds,total area of both ponds,St. Lawrence River,,910,C(T)
Ponds,0903-0146,SL- 1-P109-11-P144- 1-P145,Little Trout Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0148,"SL- 1-P109-11-P156..P163,P164","Otter Pond, Iron Pond",total area of both lakes,St. Lawrence River,,910,FP
Ponds,0903-0150,"SL- 1-P109-11-P156..P165..P166,P167","Triangle Pond, Panther Pond",total are of both lakes,St. Lawrence River,,910,FP
Ponds,0903-0152,SL- 1-P109-11-P156..P168..P174,Silver Leaf Pond,entire lake,St. Lawrence River,,910,D
Ponds,0903-0153,SL- 1-P109-11-P156..P168..P176,Clear Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,0903-0157,SL- 1-P109-P180- 4- 1- 3-P181,McBride Pond,entire lake,St. Lawrence River,,910,D
Ponds,0902-0060,SL(C)-21-P6b- 7- 3-P7,Bradley Pond,entire pond,St. Lawrence River,,910,D
Ponds,0902-0063,"SL(C)-21-P6b-10- 5- 1- 1-P2a,P2b",Twin Ponds,total area of both lakes,St. Lawrence River,,910,D
Ponds,0902-0064,SL(C)-21-P6b-11-P2c,Mountain Pond,entire lake,St. Lawrence River,,910,D
Ponds,0902-0083,SL(C)-29-22- 1-P47,Owls Head Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,0902-0084,SL(C)-29-22- 3-P48,Drain Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,0902-0089,SL(C)-29-P50- 3- 1-P55,Charlie Pond,entire lake,St. Lawrence River,,910,D
Ponds,0903-0093,SL- 1- 33- 5- 1- P14,Barney Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,0903-0094,SL- 1- 35-P18,Rock Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0095,SL- 1- 40-P23,Ormsbee/Round Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0096,"SL- 1- 43-P25,P26","Lilypad Pond, Long Pond",total area of both lakes,St. Lawrence River,,910,C
Ponds,0903-0097,SL- 1- 43-P29,Sterling Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,1201-0186,H-240-144-33-P770,House Pond,entire lake,Mohawk River,,878,FP
Ponds,1201-0189,H-240-144-43-P784,Christian Lake,entire lake,Mohawk River,,878,C(T)
Ponds,1201-0190,"H-240-144-43-P786..P787,P788","Barto Lake, Mud Pond",total area of both lakes,Mohawk River,,878,C
Ponds,1201-0191,H-240-144-44-P793,Trout Lake,entire lake,Mohawk River,,878,C(T)
Ponds,1201-0198,H-240-187- 1-P940a,Ilion Reservoir No.3,entire reservoir,Mohawk River,,876,A(T)
Ponds,0903-0158,SL- 1-P109-P180- 4-P182,Little Simon Pond,entire lake,St. Lawrence River,,910,AA(T)
Ponds,0903-0160,SL- 1-P109..125-P186..P185,Line Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0164,SL- 1-P109..133-P191..P193,Mud Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0165,"SL- 1-P109..133-P191..P195,P196","Pickerel Pond, Rock Pond",total area of both lakes,St. Lawrence River,,910,FP
Ponds,0903-0166,"SL- 1-P109..133-P191..P197,P201","Blueberry Pond, White Lily Pond",total area of both lakes,St. Lawrence River,,910,C(T)
Ponds,0903-0168,SL- 1-P109..143-P207,Palmer Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0169,SL- 1-P109..151-P208,Dawson Pond,entire lake,St. Lawrence River,,910,C(T)
Ponds,1104-0102,H-369-P127- 2-1-P127a,Davignon Pond,entire lake,Upper Hudson River,,941,C
Ponds,1104-0103,H-369-P127- 2-1-P127b,Palmer Lake,entire lake,Upper Hudson River,,941,C
Ponds,1104-0104,H-369-P127- 2-2-1-P128,Black Pond,entire pond,Upper Hudson River,,941,C
Ponds,1104-0106,H-369-P127- 3 thru 19,Minor Tribs to Great Sacandaga Lake,"total length of tribs, eastern shore",Upper Hudson River,,941,C
Ponds,1104-0108,H-369-P127-46- 8-4-P157,Grant Lake,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0112,H-369-P127-21-11-P139a,Mulleyville Pond,entire lake,Upper Hudson River,,941,C
Ponds,1104-0120,H-369-P127-26-8-P144,Archer Vly,entire lake,Upper Hudson River,,941,C
Ponds,0602-0107,SR- 44-72- 8-P129,Poolville Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0108,SR- 44-76-P146,Earlville Lake,entire lake,Susquehanna River,,931,C
Ponds,0602-0110,SR- 44-79-P153-1a-P153a,Seymour Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0114,SR- 44-83-P163a,Electric Light Pond,entire lake,Susquehanna River,,931,C(T)
Ponds,0602-0115,SR- 44-P110,Mead Pond,entire lake,Susquehanna River,,931,C
Ponds,0602-0116,SR- 44-P94,Warn Lake,entire lake,Susquehanna River,,931,C
Ponds,0603-0049,SR- 22-P20,Mutton Hill Pond,entire lake,Susquehanna River,,931,C
Ponds,0603-0050,SR- 28- 2-P21,Bosket Lake,entire lake,Susquehanna River,,931,D
Ponds,1305-0001,H-101 (portion 2)/P365,Wappinger Lakes,entire lake,Lower Hudson River,,857,B
Ponds,1305-0004,"H-101-30..P401,P403","Ryder Pond, Hunns Lake",total area of both lakes,Lower Hudson River,,857,B
Ponds,1305-0005,H-101-20-P384,Upton Lake,entire lake,Lower Hudson River,,857,B
Ponds,1305-0021,H-101-18-13-P378- 1-P379,Mud Pond,entire lake,Lower Hudson River,,857,B
Ponds,1305-0024,H-101-21- 7-P395,Round Pond,entire lake,Lower Hudson River,,857,B
Ponds,1305-0025,H-101-21-P390,Dieterich Pond,entire lake,Lower Hudson River,,857,B(T)
Ponds,0903-0172,SL- 1-P109..160-P213,Lower County Line Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0174,SL- 1-P109..162- 1- 7-P217,Brueyer Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0176,SL- 1-P109..162-27-P230,Mountain Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0903-0180,SL- 1-P109..P241-13-P243,Polliwog Pond,entire lake,St. Lawrence River,,910,D
Ponds,0903-0185,SL- 1-P109..P241-27- 3-P250,Mud Pond,entire lake,St. Lawrence River,,910,C
Ponds,0903-0186,SL- 1-P109..P241-27- 3-P251,Mosquito Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0801-0312,Ont  19- 40-P493-32- 2-P576,Woods Lake,entire lake,Black River,,805,C
Ponds,1104-0279,H-469- 9- 2-P625,First Lake (Essex Ch),entire lake,Upper Hudson River,,941,C(T)
Ponds,1104-0283,H-469- 9-16-P643,Stephens Pond,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0285,H-469- 9-P645,Rock Pond,entire lake,Upper Hudson River,,941,C
Ponds,1104-0287,H-469-36-P662,Sprague Pond,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0289,H-469-P670,Cedar Lake,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0292,H-484- 8-P676,Goodnow Pond,entire lake,Upper Hudson River,,941,C(T)
Ponds,1104-0294,H-503-P680,Harris Lake,entire lake,Upper Hudson River,,941,B
Ponds,1104-0298,H-503-P680- 5..P685,"Catlin Lake, Long Lake, Caitlin Lake",total area of all three lakes,Upper Hudson River,,941,C(T)
Ponds,1104-0302,H-503-P680- 5..P689,Deer Pond,entire lake,Upper Hudson River,,941,C(T)
Ponds,1104-0310,H-543-P704,Flowed Land Pond,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0311,H-P710,Sanford Lake,entire lake,Upper Hudson River,,941,C
Ponds,1005-0022,"C-100-P365,P364",Worcester/Buck Mountain Ponds,total area of two lakes,Lake Champlain,,830,C(T)
Ponds,1005-0025,C-119-P398,Pine Lake (Long Pond),entire lake,Lake Champlain,,830,AA
Ponds,1005-0037,C-134- 4- 4-P419,Sawmill Pond,entire lake,Lake Champlain,,830,C
Ponds,1005-0041,C-134- 4-19- 8-P436,Lake Nebo,entire lake,Lake Champlain,,830,AA(T)
Ponds,1005-0046,"C-134- 4-19-19..P439,P440a",Minor Lakes in Lower Glen Lake Br Wshed,total area of selected lakes,Lake Champlain,,830,AA(T)
Ponds,1005-0047,C-134- 4-19-19-P440,Lake Sunnyside,entire lake,Lake Champlain,,830,B
Ponds,1301-0125,H- 43- 1-P146,Garnerville Reservoir,entire reservoir,Lower Hudson River,,864,AA
Ponds,1005-0048,C-134- 4-19-19..P442 thru P449,Minor Lakes in Middle Glen Lk Br Wshed,total area of selected lakes,Lake Champlain,,830,B
Ponds,1401-0131,D-53-2-13-P255,Sand Pond,entire lake,Delaware River,,815,B
Ponds,1401-0134,D-58-P260,Crystal Lake,entire lake,Delaware River,,815,B(TS)
Ponds,1401-0136,D-59-3-P264,Basket Pond,entire lake,Delaware River,,815,B
Ponds,1501-0043,NJ-12- 6-P1002e..P1002e,Lake Askoti,entire lake,Ramapo River,,860,B(T)
Ponds,1501-0044,NJ-12- 6-P1002e..P1002f,Lake Skemonto,entire lake,Ramapo River,,860,B
Ponds,1501-0045,NJ-12- 6-P1002e..P1003,Lake Kanawauke,entire lake,Ramapo River,,860,B
Ponds,1501-0046,NJ-12- 6-P1002e..P1003b,Little Long Pond,entire lake,Ramapo River,,860,B
Ponds,0905-0188,SL-25-P309- 6-P312,Clear/Hedgehog Pond,entire lake,St. Lawrence River,,910,FP
Ponds,0905-0189,"SL-25-P309-11-P318,P319","Fishpole Pond, Darning Needle Pond",total area of both lakes,St. Lawrence River,,910,FP
Ponds,0905-0191,SL-25-P309-12-2-P328,Olmstead Pond,entire lake,St. Lawrence River,,910,FP
Ponds,1203-0073,H-240-180-99-P921,Mica Lake,entire lake,Mohawk River,,880,FP
Ponds,1104-0132,H-369-P127-46- 3-P155,Mud Lake,entire lake,Upper Hudson River,,941,FP
Ponds,1104-0136,H-369-P127-46-10-1-P165a,Racker Vly,entire lake,Upper Hudson River,,941,C(T)
Ponds,1702-0139,(MW2.5)  ER/LIS-LNB-P114,Lake Success,entire lake,Atlantic Ocean/Long Island Soun,,935,C
Ponds,1702-0152,(MW4.4a) LIS-OBH-MNC-45-P150a,Beaver Lake,entire lake,Atlantic Ocean/Long Island Soun,,885,C
Ponds,1702-0154,"(MW4.4a) LIS-OBH-MNC-45-P152,P153",Lower/Upper Francis Ponds,total area of both lakes,Atlantic Ocean/Long Island Soun,,885,C
Ponds,1702-0237,(MW5.3)  LIS- 62-4-P289,Willow Pond,entire lake,Atlantic Ocean/Long Island Soun,,925,C(T)
Ponds,1702-0239,(MW5.4b) LIS-SB-SBH-63-P336,Mill Pond,entire lake,Atlantic Ocean/Long Island Soun,,925,C(T)
Ponds,1404-0030,D-71- 4-P378-2-P380,Crystal Lake,entire lake,Delaware River,,815,B
Ponds,1005-0051,C-134- 4-19-23-P453,Halfway Creek Reservoir,entire lake,Lake Champlain,,830,AA(T)
Ponds,1302-0072,H- 31-P44- 2-P49a,Mill Pond,entire lake,Lower Hudson River,,864,B(T)
Ponds,1302-0076,H- 31-P44-14- 1- 6- 1- 1-P47a,Sparkle Lake,entire lake,Lower Hudson River,,864,B
Ponds,1302-0077,H- 31-P44-14- 1-P48,Crom Pond,entire lake,Lower Hudson River,,864,B
Ponds,1302-0079,H- 31-P44-14- 4-P51,Secor Lake,entire lake,Lower Hudson River,,864,A
